record_id,source_record_id,raw_text_path_in_master,resolved_detail_txt_path,detail_txt_path_status,detail_txt_found,detail_txt_note,ic50_before_status,ic50_after_status,ic50_raw_from_text,ic50_changed,bibliography_before_nonmissing_count,bibliography_after_nonmissing_count,bibliography_changed,additional_information_changed,database_reference_changed,notes_after
biopep_ace_000011,2627,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2627.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2627.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 61.00 µM,1,0,5,1,1,0,
biopep_ace_000012,2628,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2628.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2628.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,numeric_no_unit,,0,0,5,1,1,0,ic50_needs_manual_review
biopep_ace_000013,2629,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2629.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2629.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 4.40 µM,1,0,5,1,1,0,
biopep_ace_000014,2630,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2630.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2630.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 3.60 µM,1,0,5,1,1,0,
biopep_ace_000015,2631,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2631.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2631.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,numeric_no_unit,,0,0,5,1,1,0,ic50_needs_manual_review
biopep_ace_000016,2632,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2632.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2632.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 4.00 µM,1,0,5,1,1,0,
biopep_ace_000017,2633,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2633.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2633.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 1.80 µM,1,0,5,1,1,0,
biopep_ace_000018,2636,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2636.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2636.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 2.70 µM,1,0,5,1,1,0,
biopep_ace_000019,2637,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2637.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2637.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 73.00 µM,1,0,5,1,1,0,
biopep_ace_000020,2638,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2638.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2638.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 4.80 µM,1,0,5,1,1,0,
biopep_ace_000021,2639,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2639.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2639.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 7.60 µM,1,0,5,1,1,0,
biopep_ace_000022,2640,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2640.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2640.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 8.60 µM,1,0,5,1,1,0,
biopep_ace_000023,2641,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2641.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2641.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 107.00 µM,1,0,5,1,1,0,
biopep_ace_000024,2642,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2642.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2642.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 270.00 µM,1,0,5,1,1,0,
biopep_ace_000025,2643,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2643.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2643.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 170.00 µM,1,0,5,1,1,0,
biopep_ace_000026,2644,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2644.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2644.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 380.00 µM,1,0,5,1,1,0,
biopep_ace_000027,2645,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2645.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2645.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 110.00 µM,1,0,5,1,1,0,
biopep_ace_000028,2646,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2646.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2646.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 30.00 µM,1,0,5,1,1,0,
biopep_ace_000029,2649,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2649.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2649.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,numeric_no_unit,,0,0,5,1,1,0,ic50_needs_manual_review
biopep_ace_000030,2651,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2651.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2651.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 420.00 µM,1,0,5,1,1,0,
biopep_ace_000031,2652,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2652.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2652.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 36.00 µM,1,0,5,1,1,0,
biopep_ace_000032,2653,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2653.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2653.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 320.00 µM,1,0,5,1,1,0,
biopep_ace_000033,2654,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2654.txt,E:\MYS\PepDB\DB\raw\ace\databases\BIOPEP_UWM\experimental\raw_txt\detail_cards\detail_report_2654.txt,raw_text_path_exists,1,detail_txt_read_ok,numeric_no_unit,exact_molar,IC50 : 910.00 µM,1,0,5,1,1,0,
