fmdb_id,detail_url,detail_title,pubmed_id,peptide_sequence,length_of_peptide,food_matrix,protein_name,ph,temperature,incubation_time,activity,experiment,model,assay_for_activity_measurement,starter_culture,hydrolysis,method_of_analysis,mz_ratio,mass,ic50_raw,detail_text_path,detail_html_path
FMDB77,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB77,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB77.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB77.html
FMDB78,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB78,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB78.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB78.html
FMDB84,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB84,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB84.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB84.html
FMDB102,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB102,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB102.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB102.html
FMDB115,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB115,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB115.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB115.html
FMDB116,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB116,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB116.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB116.html
FMDB117,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB117,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB117.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB117.html
FMDB118,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB118,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB118.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB118.html
FMDB173,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB173,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB173.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB173.html
FMDB174,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB174,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB174.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB174.html
FMDB175,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB175,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB175.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB175.html
FMDB176,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB176,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB176.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB176.html
FMDB177,https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB177,,,,,,,,,,,,,,,,,,,,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_txt\detail_cards\FMDB177.txt,E:\MYS\PepDB\DB\raw\ace\databases\FermFooDb\experimental\raw_html\detail_pages\FMDB177.html
